#plot,int
#x,y,sp,age,mysize,tag,sprout
40.77785741,55.496685904,2,0,5.53859202,269,19
40.90135226,55.489172571,2,0,7.384789359,270,19
40.36356941,57.678294315,1,0,3.9152116,272,0
48.23504268,52.320698466,1,0,3.087605896,274,0
49.22132512,52.289775429,3,0,2.037183272,275,0
49.0126044,52.64949921,3,0,2.673803044,276,0
42.95207784,60.55518239,3,0,2.641972055,279,0
44.44817578,61.04175148,3,0,2.46,280,0
41.37800938,64.42597072,1,0,2.450986124,281,0
42.94169521,66.26457162,1,0,2.641972055,282,0
42.30458188,69.63480854,2,0,16.01098728,284,20
42.2911532,79.22845886,2,0,2.76929601,290,21
42.31495956,79.27998766,2,0,0.55,291,21
42.39482312,79.34016916,2,0,3.628732702,292,21
42.21051793,79.30192194,2,0,1.83,294,21
42.29697677,79.43580215,2,0,1.36,295,21
42.36764133,79.52436601,2,0,2.291831181,296,21
42.47063899,79.60368488,2,0,1.21,297,21
42.43085771,79.81729985999999,2,0,2.450986124,298,21
42.4990919,79.73027757,2,0,8.944507802,299,21
42.57665163,79.82595715,2,0,4.265352475,300,21
42.53738267,79.97268448,2,0,1.909859317,301,21
42.20210713,79.67127094,2,0,13.01887434,302,21
41.94673304,79.30027793,2,0,5.570423008,304,21
41.89787336,79.36270311,2,0,3.437746771,305,21
41.88079281,79.41660035,2,0,2.546479089,306,21
41.79390492,79.38129556999999,2,0,1.941690306,307,21
41.81873214,79.33387222,2,0,1.13,308,21
41.84246817,79.62411282,2,0,3.21492985,309,21
42.04984549,79.65374661,2,0,7.416620348,310,21
41.93414513,79.73325126,2,0,1.18,311,21
41.95504438,79.61210247,2,0,1.86,312,21
41.99452325,79.81740353,2,0,1.909859317,313,21
42.09512248,79.89974304,2,0,1.05,314,21
42.03321526,79.84907257,2,0,4.329014452,316,21
42.25559181,79.92438257,2,0,0.99,317,21
44.90183282,84.03081317,1,0,1.39,341,0
43.44661813,86.45659964000001,1,0,2.355493158,344,0
41.80984092,88.00345443,1,0,1.99,345,0
48.60225172,91.65987944,2,0,3.278591828,346,22
49.00635548,92.14062387,2,0,9.294648677,347,22
49.32416781,92.15658314000001,2,0,3.9152116,348,22
49.59543713,92.18282589,2,0,6.047887837,349,22
49.26633127,92.28511054,2,0,1.68,350,22
49.23761531,92.69421038,2,0,1.13,351,22
49.81830962,95.47698718000001,2,0,3.596901714,352,23
46.20804253,95.88396621999999,1,0,7.098310462,353,0
45.36190872,95.72756574,1,0,8.75352187,354,0
41.55964686,95.41861041,2,0,1.57,356,24
41.65028446,95.48473795000001,2,0,3.819718634,357,24
41.48078979,95.68160694,2,0,3.596901714,359,24
41.347857,95.66180373,2,0,1.687042397,360,24
40.40368803,98.91744338000001,1,0,1.750704374,361,0
41.62474983,99.40017471,2,0,4.201690498,363,25
41.73344728,99.44280710999999,2,0,7.161972439,364,25
41.85837927,99.43215839,2,0,3.119436885,365,25
41.91079217,99.30556912,2,0,3.437746771,366,25
41.95643067,99.38459336,2,0,2.164507226,367,25
41.89615681,99.15972847,2,0,0.64,368,25
0.358001742,46.610312758,1,0,0.99,401,0
0.999935947,48.027965377,1,0,0.81,402,0
1.725546129,47.914069153,1,0,1.15,403,0
21.74400472,40.382408587,2,0,2.85,410,26
21.57359182,40.7078712,2,0,3.246760839,412,26
21.62235084,40.673877802999996,2,0,5.156620156,413,26
22.0853493,40.437824632,2,0,2.94,414,26
22.25608248,40.464640832,2,0,3.851549623,415,26
21.46494397,40.744444751,2,0,0.5,416,26
21.48763645,40.808267248,2,0,0.64,417,26
28.09650269,45.299778459,2,0,9.67662054,418,27
28.21630003,45.394999068,2,0,4.965634224,419,27
31.68306491,42.68629684,3,0,7.002817496,421,0
32.57920274,45.818648303,2,0,3.787887646,422,28
32.70002292,45.953716031,2,0,11.77746579,423,28
32.80903331,45.802378653,2,0,2.65,424,28
32.77300146,46.150657861,2,0,7.002817496,425,28
33.75886237,48.017094302,2,0,4.074366543,426,29
33.65070084,48.097561376,2,0,5.665915974,427,29
33.01996987,40.647517818,3,0,7.60760628,428,0
33.76606459,43.027036393,2,0,4.265352475,429,30
34.21745746,42.671909765,2,0,9.45380362,430,30
35.33540445,41.399445732000004,3,0,8.371550007,432,0
35.12221344,43.810944532,3,0,10.82253613,433,0
36.14043415,48.01958549,2,0,1.55,434,31
36.22493126,48.169997307,2,0,7.543944303,435,31
36.37628038,48.063141827,2,0,2.31,436,31
36.35769229,48.142480861,2,0,1.61,437,31
36.44344169,47.950785684,2,0,2.08,438,31
38.84947873,46.031243719,2,0,1.93,440,32
38.93552397,45.975934302,2,0,3.119436885,443,32
