#x,y,sp,age,size,tag
4.830692327,46.32037256,1,100,13.1461983,70
4.379302907,-46.24241653,1,100,13.81464906,805
33.2381912,10.43317619,1,100,13.91014203,237
32.68987297,12.68913935,1,100,14.38760686,235
41.08162891,27.39052777,1,100,14.45126883,303
3.717645281,39.48857905,1,100,14.76957872,55
17.16425687,-46.13960353,1,100,15.72450838,817
19.2373847,42.64214267,1,100,15.97915629,81
48.46773174,4.331347678,1,100,16.01098728,277
45.00899252,-49.50039967,1,100,16.93408594,826
43.16829426,-26.62296204,1,100,17.0614099,683
6.466641311,-17.2835534,1,100,17.44338176,582
4.814019106,-37.96763631,1,100,17.44338176,728
10.99046604,-3.885753083,1,100,18.11183252,406
11.40746122,46.88392165,1,100,18.36648043,74
5.8,-22.2,1,100,18.6,4760
8.970067549,-42.17883894,1,100,18.62112834,810
24.64606833,-24.54046425,1,100,18.78028328,639
2.099644167,-32.60697777,1,100,19.51239602,730
1.806062187,-44.13905582,1,100,19.60788899,802
13.66822591,-49.40147113,1,100,19.98986085,814
3.682148909,-38.27163152,1,100,20.18084678,729
19.29362073,-47.43550622,1,100,20.30817074,818
43.19927233,33.05532555,1,100,20.84929755,342
43.34909492,23.5768792,1,100,20.88112853,286
15.45895632,-30.1517821,1,100,21.29493139,724
24.08199236,14.32994551,1,100,21.32676237,158
16.7005775,-0.727915657,1,100,22.02704412,408
25.1944523,-23.93329522,1,100,22.21803006,638
8.411664196,38.28826961,1,100,22.75915686,60
5.112872629,4.97445664,1,100,22.98197378,16
28.46512914,-16.4995657,1,100,23.23662169,559
10.67099507,-20.19742439,1,100,23.23662169,617
44.87762501,16.83766318,1,100,23.36394565,283
41.44877197,-26.34615793,1,100,24.03239641,693
11.45103727,-46.13999532,1,100,24.35070629,812
23.28744426,-25.26331601,1,100,24.98732607,640
15.09772605,-34.41727762,1,100,25.30563595,725
48.15673281,26.18105603,1,100,25.59211485,287
40.79398882,-19.0753337,1,100,27.37465021,512
23.60732023,-43.35614263,1,100,27.94760801,819
8.536668534,-10.47727387,1,100,28.17042493,590
27.30058912,-39.45360586,1,100,28.71155173,717
30.74142053,-33.68993775,1,100,29.0935236,713
1.840774596,-14.42217694,1,100,29.28450953,588
3.727230489,-27.99811526,1,100,29.79380535,606
17.43764023,-18.4785821,1,100,30.93972094,571
23.07038032,14.56999879,1,100,30.97155193,156
33.91490613,-40.24440262,1,100,31.67183368,821
18.07716904,-34.59280662,1,100,32.18112949,722
1.215430341,-9.412438016,1,100,32.78591828,405
3.544790681,-47.85870044,1,100,32.84958025,806
36.14698339,-27.64530544,1,100,33.10422816,675
6.008110966,-33.48582914,1,100,37.24225668,727
0.801165984,-32.57747666,1,100,37.71972151,731
2.755722333,-4.591590398,1,100,40.68000345,404
12.33953117,-29.69983594,1,100,42.97183463,626
28.0402132,-29.63265985,3,100,0.12,655
