#plot,int,,,,,
#x,y,sp,age,size,tag,sprout
29.93960955,1.097343111,1,0,3.374084794,119,0
27.16131576,7.13636158,1,0,1.34,123,0
29.52573977,6.844938409,1,0,2.67,124,0
29.14163433,7.350062707,1,0,2.14,125,0
24.67635205,39.22583494,1,0,1.28,129,0
20.23630558,13.53793779,1,0,2.47,154,0
20.02537707,14.53997785,1,0,1.52,155,0
23.07038032,14.56999879,1,0,30.97155193,156,0
22.65033794,15.50511557,1,0,1.15,157,0
24.08199236,14.32994551,1,0,21.32676237,158,0
29.69355236,12.81717374,1,0,2.45,161,0
26.10506321,23.11284033,1,0,3.533239737,165,0
25.0995098,23.4828448,1,0,0.69,166,0
26.02338816,28.85908396,1,0,5.506761031,168,0
30.00433358,27.59226359,1,0,13.05070533,169,0
21.77680225,38.0609606,1,0,4.233521486,181,0
21.3318663,38.494599,1,0,4.647324338,182,0
22.11056647,42.31136522,1,0,3.756056657,183,0
23.61537132,41.38057606,1,0,3.310422816,184,0
27.40171506,42.12240764,1,0,3.787887646,185,0
34.51139226,39.26488458,1,0,2.12,204,0
38.3698319,35.03761996,1,0,2.41,205,0
39.1773778,30.78338243,1,0,1.89,206,0
30.12460227,24.75836887,1,0,6.016056849,207,0
35.13941458,25.43477854,1,0,11.77746579,208,0
37.16097263,18.58208924,1,0,4.710986316,213,0
37.03769449,18.25834669,1,0,2.1,214,0
36.7165148,18.17516332,1,0,2.3,215,0
36.223985,18.90254352,1,0,1.97,216,0
34.41219118,18.73482454,1,0,3.437746771,217,0
34.69531506,13.58466552,1,0,10.44056427,232,0
35.17523191,13.03154432,1,0,4.13802852,233,0
33.4958317,12.92672206,1,0,0.36,234,0
32.68987297,12.68913935,1,0,14.38760686,235,0
33.17337185,11.0881365,1,0,9.994930426,236,0
33.2381912,10.43317619,1,0,13.91014203,237,0
34.75341015,11.28162905,1,0,13.05070533,238,0
39.73586863,10.43258854,1,0,5.53859202,240,0
39.17584475,9.477292772,1,0,0.8,241,0
37.78793508,9.698297042,1,0,0.55,242,0
35.80496362,9.125,1,0,9.358310654,243,0
35.39655668,9.324486169,1,0,12.06394469,244,0
38.61925746,7.598378223,1,0,0.51,259,0
30.95887901,1.462226651,1,0,1.1,260,0
41.11423741,7.387706948,1,0,2.24,271,0
40.36356941,7.678294315,1,0,2.7,272,0
40.62845317,7.808323333,1,0,0.97,273,0
48.23504268,2.320698466,1,0,1.79,274,0
48.46773174,4.331347678,1,0,16.01098728,277,0
49.01163636,7.869739434,1,0,11.4591559,278,0
41.37800938,14.42597072,1,0,1.41,281,0
42.94169521,16.26457162,1,0,1.53,282,0
44.87762501,16.83766318,1,0,23.36394565,283,0
49.99987815,19.93018697,1,0,11.04535305,285,0
43.34909492,23.5768792,1,0,20.88112853,286,0
48.15673281,26.18105603,1,0,25.59211485,287,0
48.29574443,26.80412636,1,0,11.14084602,288,0
41.08162891,27.39052777,1,0,14.45126883,303,0
44.90183282,34.03081317,1,0,0.63,341,0
43.19927233,33.05532555,1,0,20.84929755,342,0
41.87688215,35.68086162,1,0,4.042535555,343,0
43.44661813,36.45659964,1,0,1.32,344,0
41.80984092,38.00345443,1,0,0.91,345,0
46.20804253,45.88396622,1,0,5.697746963,353,0
45.36190872,45.72756574,1,0,7.448451337,354,0
41.78852106,44.85625511,1,0,0.75,355,0
40.40368803,48.91744338,1,0,1.08,361,0
0.358001742,-3.389687242,1,0,0.24,401,0
0.999935947,-1.972034623,1,0,0.19,402,0
1.725546129,-2.085930847,1,0,0.75,403,0
2.755722333,-4.591590398,1,0,40.68000345,404,0
1.215430341,-9.412438016,1,0,32.78591828,405,0
10.99046604,-3.885753083,1,0,18.11183252,406,0
12.52566942,-2.785425282,1,0,5.952394872,407,0
16.7005775,-0.727915657,1,0,22.02704412,408,0
27.49603365,-9.36657639,1,0,10.6315502,420,0
38.59997866,-2.296180153,1,0,7.352958371,439,0
47.20744405,-0.392468145,1,0,5.474930042,456,0
42.10457037,-19.8169437,1,0,0.64,511,0
40.79398882,-19.0753337,1,0,27.37465021,512,0
38.59385979,-14.80862451,1,0,0.39,518,0
36.71062999,-14.44532844,1,0,0.67,519,0
36.09368246,-15.51709011,1,0,1.51,520,0
36.29898775,-16.64940662,1,0,2.41,521,0
35.58823619,-16.56539718,1,0,2.2,522,0
34.56401647,-16.16591299,1,0,0.49,524,0
34.0821722,-14.20558131,1,0,2.85,525,0
28.46512914,-16.4995657,1,0,23.23662169,559,0
18.68785786,-16.25311022,1,0,3.34,570,0
17.43764023,-18.4785821,1,0,30.93972094,571,0
14.05849242,-19.41743009,1,0,4.679155327,576,0
12.64230825,-18.96594386,1,0,0.45,577,0
11.93098884,-17.14261328,1,0,12.73239545,578,0
11.34301654,-19.13591818,1,0,3.278591828,579,0
8.351292675,-18.76972124,1,0,0.4,580,0
6.466641311,-17.2835534,1,0,17.44338176,582,0
4.283786839,-18.29968495,1,0,1.22,583,0
3.724204945,-18.24819965,1,0,2.5,584,0
3.78602728,-19.00660299,1,0,0.17,585,0
3.409169773,-18.83506997,1,0,0.73,586,0
1.522655783,-17.83338492,1,0,3.04,587,0
1.840774596,-14.42217694,1,0,29.28450953,588,0
0.821014344,-14.10877542,1,0,1.3,589,0
8.536668534,-10.47727387,1,0,28.17042493,590,0
3.676716541,-20.10169567,1,0,2.12,601,0
4.666572827,-20.33531316,1,0,0.64,602,0
3.84417141,-21.83114306,1,0,1.48,603,0
5.299237506,-21.21062362,1,0,3.756056657,604,0
4.257737703,-22.87420948,1,0,2.832957987,605,0
3.727230489,-27.99811526,1,0,29.79380535,606,0
9.320720849,-23.66366579,1,0,12.73239545,607,0
9.956663423,-21.057995,1,0,1.64,612,0
9.779535286,-21.77950719,1,0,0.15,613,0
10.07559451,-21.92285601,1,0,1.59,614,0
10.05375189,-22.86821561,1,0,5.634084985,615,0
11.4943156,-22.19747142,1,0,0.74,616,0
10.67099507,-20.19742439,1,0,23.23662169,617,0
11.34669821,-20.3973333,1,0,1.03,618,0
12.35821974,-20.44350539,1,0,2.6,619,0
13.89166125,-21.12931928,1,0,0.92,620,0
15.23800085,-22.29551667,1,0,1.84,621,0
16.21347982,-22.8046348,1,0,2.32,622,0
17.18167291,-22.45858342,1,0,1.44,623,0
16.75607968,-23.56502188,1,0,0.1,624,0
18.16251293,-24.1077538,1,0,8.75352187,625,0
12.33953117,-29.69983594,1,0,42.97183463,626,0
20.37005867,-20.1,1,0,1.59,627,0
19.93475723,-22.32374439,1,0,1.35,628,0
19.8473117,-22.47495863,1,0,1.04,629,0
20.06851056,-22.49461772,1,0,2.14,630,0
20.13459584,-22.38669245,1,0,2.39,631,0
20.68915671,-23.02527637,1,0,1.1,632,0
20.77755709,-22.90782508,1,0,2.18,633,0
21.35835711,-22.25097937,1,0,2.94,634,0
25.62768022,-20.92936526,1,0,7.480282325,635,0
25.1944523,-23.93329522,1,0,22.21803006,638,0
24.64606833,-24.54046425,1,0,18.78028328,639,0
23.28744426,-25.26331601,1,0,24.98732607,640,0
27.35112501,-29.2377249,1,0,4.074366543,652,0
27.64920519,-29.7917651,1,0,0.57,653,0
27.39810182,-27.77625397,1,0,3.246760839,656,0
28.22114672,-27.58417965,1,0,5.252113122,657,0
29.74739245,-29.64669319,1,0,7.161972439,658,0
29.84317601,-24.72739952,1,0,2.960281942,659,0
33.5364737,-24.55919442,1,0,1.57,662,0
32.3582099,-25.05719745,1,0,3.596901714,663,0
31.65413565,-25.54868771,1,0,1.42,664,0
30.69409496,-25.00207279,1,0,1.96,665,0
30.38296304,-25.47662664,1,0,1.97,666,0
30.91378578,-26.75850542,1,0,0.7,667,0
32.21888071,-27.73815665,1,0,1.45,669,0
32.17224904,-27.88630041,1,0,1.26,670,0
32.39425555,-28.1349825,1,0,1.94,671,0
33.2394572,-29.35499423,1,0,3.21492985,672,0
35.35639928,-28.84446645,1,0,1.57,674,0
36.14698339,-27.64530544,1,0,33.10422816,675,0
43.16829426,-26.62296204,1,0,17.0614099,683,0
41.44877197,-26.34615793,1,0,24.03239641,693,0
42.44435275,-21.06685737,1,0,0.69,694,0
31.97958923,-31.22680838,1,0,4.901972247,712,0
30.74142053,-33.68993775,1,0,29.0935236,713,0
28.35482258,-30.15763217,1,0,2.55,715,0
27.30058912,-39.45360586,1,0,28.71155173,717,0
22.69986222,-35.87163786,1,0,0.91,719,0
19.35008586,-30.68249527,1,0,0.43,721,0
18.07716904,-34.59280662,1,0,32.18112949,722,0
16.03191024,-32.98725739,1,0,2.54,723,0
15.45895632,-30.1517821,1,0,21.29493139,724,0
15.09772605,-34.41727762,1,0,25.30563595,725,0
8.280799879,-36.85981673,1,0,12.5732405,726,0
6.008110966,-33.48582914,1,0,37.24225668,727,0
4.814019106,-37.96763631,1,0,17.44338176,728,0
3.682148909,-38.27163152,1,0,20.18084678,729,0
2.099644167,-32.60697777,1,0,19.51239602,730,0
0.801165984,-32.57747666,1,0,37.71972151,731,0
1.312280744,-43.56309334,1,0,12.89155039,801,0
1.806062187,-44.13905582,1,0,19.60788899,802,0
2.620214093,-43.3631622,1,0,12.00028271,803,0
3.641241533,-45.48873307,1,0,12.5732405,804,0
4.379302907,-46.24241653,1,0,13.81464906,805,0
3.544790681,-47.85870044,1,0,32.84958025,806,0
7.119128175,-48.272737,1,0,11.90478974,807,0
6.118816145,-45.46135623,1,0,7.798592212,808,0
8.2400703,-43.79144398,1,0,11.52281788,809,0
8.970067549,-42.17883894,1,0,18.62112834,810,0
11.16627446,-48.44237585,1,0,12.06394469,811,0
11.45103727,-46.13999532,1,0,24.35070629,812,0
13.31341689,-46.26299501,1,0,10.0585924,813,0
13.66822591,-49.40147113,1,0,19.98986085,814,0
14.84848699,-47.8556321,1,0,9.326479665,815,0
16.68158465,-45.75262204,1,0,9.008169779,816,0
17.16425687,-46.13960353,1,0,15.72450838,817,0
19.29362073,-47.43550622,1,0,20.30817074,818,0
23.60732023,-43.35614263,1,0,27.94760801,819,0
26.29090397,-49.39425484,1,0,10.50422624,820,0
33.91490613,-40.24440262,1,0,31.67183368,821,0
39.579541,-40.45564705,1,0,8.371550007,822,0
41.21687284,-41.22968309,1,0,7.034648485,823,0
43.17397431,-48.81605281,1,0,11.07718404,824,0
44.83681061,-49.25196537,1,0,5.570423008,825,0
45.00899252,-49.50039967,1,0,16.93408594,826,0
44.97396131,-49.88962127,1,0,10.44056427,827,0
45.53027722,-41.0549568,1,0,0.56,829,0
46.48491084,-41.76191128,1,0,9.867606472,830,0
5.8,-22.2,1,0,1.86,4760,0
4.534751275,8.606925568,2,0,4.710986316,2,1
4.649050118,8.685680649,2,0,3.596901714,3,1
4.541337313,8.74979935,2,0,8.276057041,4,1
4.442832544,8.562818777,2,0,1.69,5,1
4.289145621,8.931242653,2,0,2.51,6,1
4.307478628,9.057609198,2,0,1.83,7,1
4.384790974,9.080474258,2,0,2.84,8,1
4.467092129,9.014438999,2,0,5.156620156,9,1
4.573330983,9.237331407,2,0,2.42,10,1
4.65433204,9.105441976,2,0,7.894085177,11,1
4.357567182,8.892998692,2,0,0.76,12,1
4.905947437,8.729910048,2,0,0.54,13,1
4.905947437,8.729910048,2,0,0.81,14,1
4.913632476,8.918859208,2,0,0.39,15,1
6.909316774,17.28119339,2,0,11.04535305,19,2
6.899912072,17.63459592,2,0,10.40873328,20,2
6.890765275,17.69562599,2,0,4.297183463,21,2
6.833333726,17.8773298,2,0,4.456338407,22,2
6.988692959,17.92732174,2,0,2.896619964,23,2
6.597033223,17.7890832,2,0,1.76,24,2
6.590440656,17.62216538,2,0,1.98,25,2
8.302944683,22.16275509,2,0,1.82,30,3
8.418489093,22.1145783,2,0,4.297183463,31,3
8.640717582,22.44507662,2,0,18.23915648,32,3
8.507267028,22.71501523,2,0,13.59183214,33,3
8.811950518,22.14812198,2,0,5.856901906,34,3
8.946126596,22.23051988,2,0,0.62,35,3
8.916752409,22.42262801,2,0,2.99211293,36,3
8.925955508,22.88300507,2,0,15.40619849,37,3
9.04454747,22.93875162,2,0,4.679155327,38,3
1.070079198,30.0129831,2,0,1.54,50,4
1.087553512,30.01110021,2,0,0.57,51,4
19.49491609,28.80229213,2,0,2.53,88,5
19.16681091,28.65414696,2,0,1.87,89,5
19.01433591,28.50552349,2,0,1.86,90,5
19.28818616,28.62802263,2,0,12.15943765,91,5
19.56290792,28.4251192,2,0,3.16,92,5
19.5558921,28.66597854,2,0,0.69,93,5
19.07484955,28.29398063,2,0,12.92338138,94,5
19.31219183,28.19753908,2,0,2.02,95,5
19.39503726,28.23270488,2,0,1.24,96,5
19.69916376,20.65348857,2,0,3.628732702,105,6
19.67472816,13.7331669,2,0,0.44,108,7
19.51290635,13.84346365,2,0,0.19,109,7
19.66967545,13.82849535,2,0,1,110,7
19.45059203,13.83748748,2,0,4.265352475,111,7
16.47161312,13.88853747,2,0,8.785352859,112,8
21.83654062,11.59546112,2,0,1.01,126,9
24.4813307,11.26108677,2,0,4.456338407,133,10
24.48375705,11.3246776,2,0,3.787887646,134,10
24.43156071,11.48465801,2,0,8.467042972,135,10
24.25632119,10.97345114,2,0,5.888732894,136,10
24.04266054,10.75532407,2,0,0.63,137,10
23.97581063,10.57747275,2,0,0.9,138,10
23.90415344,10.78510482,2,0,11.14084602,139,10
23.81413609,10.89146298,2,0,2.27,140,10
23.80324496,10.79989943,2,0,0.55,141,10
23.77682103,11.15813707,2,0,3.978873577,142,10
23.82222553,11.16380723,2,0,5.029296202,143,10
24.31968047,11.74054771,2,0,4.901972247,144,10
21.97132574,11.53273059,2,0,1.33,145,9
21.7827579,10.54029764,2,0,19.09859317,146,11
21.71355393,11.60416447,2,0,2.29,147,9
21.78553769,11.94731163,2,0,3.469577759,148,9
21.95167055,12.18468638,2,0,5.98422586,149,9
22.02183317,12.08199862,2,0,0.7,150,9
22.1852257,12.1449738,2,0,3.501408748,151,9
21.91691253,12.38250162,2,0,6.525352667,152,9
22.27553891,12.64691356,2,0,0.65,153,9
25.09757866,34.13590656,2,0,15.59718442,170,12
25.43332391,34.33418221,2,0,4.233521486,171,12
24.90735078,34.66329612,2,0,2.22,172,12
20.55777251,33.49386522,2,0,7.512113314,173,13
20.86937028,33.30621965,2,0,3.119436885,174,13
20.54820962,33.73393535,2,0,1.27,175,13
20.65225761,33.79418337,2,0,10.44056427,176,13
20.85173115,33.61657192,2,0,6.111549815,177,13
21.0009762,33.60789967,2,0,7.671268257,178,13
20.97847287,33.95872606,2,0,10.66338119,179,13
20.6057334,34.51333553,2,0,1.69,180,13
26.08806805,46.32643876,2,0,4.551831372,186,14
26.36302701,46.65852741,2,0,6.46169069,187,14
26.10917963,46.69040539,2,0,5.729577951,188,14
26.35622472,46.8162165,2,0,3.9152116,189,14
25.93341499,46.75386456,2,0,1.31,190,14
26.64557984,47.05211802,2,0,10.56788822,191,14
26.92460011,46.94881381,2,0,3.469577759,192,14
26.584829,47.33891185,2,0,4.870141259,193,14
26.38270087,47.29090047,2,0,1.35,194,14
26.12561572,47.27440252,2,0,12.54140952,195,14
26.40294026,47.5768566,2,0,2.38,196,14
25.84220132,46.93783711,2,0,9.040000768,197,14
25.79147592,46.63889349,2,0,2.928450953,198,14
30.57121376,48.90178856,2,0,5.98422586,199,15
37.97262429,45.94387719,2,0,12.63690248,200,16
37.58664551,46.05556767,2,0,1.09,201,16
37.47892304,45.78060111,2,0,18.36648043,202,16
37.19510181,45.58702726,2,0,12.8597194,203,16
35.20895174,23.34408758,2,0,1.35,211,17
35.18994777,23.20537707,2,0,6.780000576,212,17
32.17251558,17.93114137,2,0,2.06,218,18
32.32412661,17.64319379,2,0,2.93,219,18
32.41046455,17.50389089,2,0,5.506761031,220,18
31.863786,17.93730716,2,0,9.135493733,221,18
31.68550522,18.03348731,2,0,7.766761223,222,18
31.64129049,17.86874086,2,0,6.589014644,223,18
31.89674369,17.510168,2,0,21.89972017,224,18
31.89179683,17.24741853,2,0,4.901972247,225,18
32.11940718,17.11477675,2,0,2.13,226,18
31.99938738,17.17616394,2,0,2.832957987,227,18
32.26116972,17.23739045,2,0,7.289296394,228,18
32.24936889,17.1001311,2,0,5.856901906,229,18
31.99259201,17.25743239,2,0,0.76,230,18
34.02577734,9.71190867,2,0,7.448451337,245,19
34.05093781,9.693092728,2,0,0.36,246,19
33.89485241,9.407522329,2,0,2.08,247,19
34.06856706,9.41808477,2,0,0.96,248,19
33.86120516,9.31434332,2,0,2.93,249,19
33.7133626,9.495582451,2,0,2.34,250,19
33.49599976,9.068935472,2,0,2.9,251,19
33.81748807,9.145595847,2,0,0.73,252,19
33.99186409,8.913800502,2,0,4.456338407,253,19
40.79553508,5.033308552,2,0,1.84,261,20
40.67586355,5.066075754,2,0,0.97,262,20
